Year,Day of Week,Month,Day,Time (ET),Game Type,Home Team,Away Team,Arena,City,State,Attendance
2023,Friday,May,19,7:00 PM,Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,7356
2023,Friday,May,19,7:00 PM,Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,4200
2023,Friday,May,19,8:00 PM,Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,8024
2023,Friday,May,19,11:00 PM,Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,10396
2023,Saturday,May,20,3:00 PM,Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,11229
2023,Saturday,May,20,1:00 PM,Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,5588
2023,Sunday,May,21,1:00 PM,Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,7048
2023,Sunday,May,21,2:00 PM,Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,8575
2023,Sunday,May,21,4:00 PM,Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,14040
2023,Tuesday,May,23,7:00 PM,Regular season,Washington Mystics,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,3383
2023,Tuesday,May,23,8:00 PM,Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,7803
2023,Thursday,May,25,10:00 PM,Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,7314
2023,Thursday,May,25,10:00 PM,Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,6057
2023,Friday,May,26,8:00 PM,Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,7304
2023,Friday,May,26,10:00 PM,Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,8277
2023,Saturday,May,27,1:00 PM,Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,7102
2023,Saturday,May,27,9:00 PM,Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,10191
2023,Sunday,May,28,3:00 PM,Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,3209
2023,Sunday,May,28,6:00 PM,Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,6042
2023,Sunday,May,28,9:00 PM,Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,7970
2023,Tuesday,May,30,7:00 PM,Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,2562
2023,Tuesday,May,30,7:00 PM,Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,5317
2023,Tuesday,May,30,8:00 PM,Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,3484
2023,Tuesday,May,30,9:00 PM,Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,8340
2023,Thursday,June,1,8:00 PM,Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8124
2023,Friday,June,2,7:00 PM,Regular season,Washington Mystics,Dallas Wings,Entertainment and Sports Arena,Washington,DC,3294
2023,Friday,June,2,8:00 PM,Regular season,Atlanta Dream,Las Vegas Aces,Gateway Center Arena @ College Park,Atlanta,GA,3209
2023,Friday,June,2,6:00 PM,Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,7188
2023,Friday,June,2,10:00 PM,Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,8815
2023,Saturday,June,3,7:00 PM,Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,3534
2023,Saturday,June,3,10:00 PM,Regular season,Los Angeles Sparks,Seattle Storm,Crypto.com Arena,Los Angeles,CA,6866
2023,Sunday,June,4,1:00 PM,Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,5012
2023,Sunday,June,4,2:00 PM,Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,7225
2023,Sunday,June,4,4:00 PM,Regular season,Indiana Fever,Las Vegas Aces,Gainbridge Fieldhouse,Indianapolis,IN,6131
2023,Tuesday,June,6,7:00 PM,Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,4368
2023,Tuesday,June,6,8:00 PM,Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,5201
2023,Tuesday,June,6,10:00 PM,Regular season,Seattle Storm,Los Angeles Sparks,Climate Pledge Arena,Seattle,WA,7840
2023,Wednesday,June,7,8:00 PM,Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,4242
2023,Thursday,June,8,7:00 PM,Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,5147
2023,Friday,June,9,3:00 AM,Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,3209
2023,Friday,June,9,8:00 PM,Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,6251
2023,Friday,June,9,8:00 PM,Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,8510
2023,Friday,June,9,10:00 PM,Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,5431
2023,Friday,June,9,10:00 PM,Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,8397
2023,Sunday,June,11,1:00 PM,Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,7615
2023,Sunday,June,11,3:00 PM,Regular season,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,Las Vegas,NV,9786
2023,Sunday,June,11,4:00 PM,Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,2690
2023,Sunday,June,11,5:00 PM,Regular season,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,Indianapolis,IN,5013
2023,Sunday,June,11,3:00 PM,Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,13213
2023,Sunday,June,11,7:00 PM,Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,8025
2023,Tuesday,June,13,7:00 PM,Regular season,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,Indianapolis,IN,3005
2023,Tuesday,June,13,8:00 PM,Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,5719
2023,Tuesday,June,13,10:00 PM,Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,7044
2023,Wednesday,June,14,1:00 PM,Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,5807
2023,Thursday,June,15,7:00 PM,Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,4316
2023,Thursday,June,15,8:00 PM,Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,6323
2023,Thursday,June,15,10:00 PM,Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,8518
2023,Friday,June,16,8:00 PM,Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,4200
2023,Friday,June,16,10:00 PM,Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,5265
2023,Saturday,June,17,2:00 PM,Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,5020
2023,Sunday,June,18,12:00 PM,Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,9278
2023,Sunday,June,18,3:00 PM,Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,4009
2023,Sunday,June,18,4:00 PM,Regular season,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,Indianapolis,IN,4024
2023,Sunday,June,18,3:00 AM,Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,6289
2023,Sunday,June,18,9:00 PM,Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,8036
2023,Tuesday,June,20,8:00 PM,Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,3392
2023,Tuesday,June,20,10:00 PM,Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,4180
2023,Tuesday,June,20,10:00 PM,Regular season,Seattle Storm,Connecticut Sun,Climate Pledge Arena,Seattle,WA,7022
2023,Wednesday,June,21,11:00 AM,Regular season,Phoenix Mercury,Las Vegas Aces,Footprint Center,Phoenix,AZ,11580
2023,Thursday,June,22,8:00 PM,Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,6158
2023,Thursday,June,22,8:00 PM,Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,7024
2023,Thursday,June,22,10:00 PM,Regular season,Seattle Storm,Indiana Fever,Climate Pledge Arena,Seattle,WA,7734
2023,Friday,June,23,3:00 AM,Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,3209
2023,Friday,June,23,10:00 PM,Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,5766
2023,Saturday,June,24,9:00 PM,Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,8310
2023,Saturday,June,24,9:00 PM,Regular season,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,Seattle,WA,9122
2023,Sunday,June,25,1:00 PM,Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,6517
2023,Sunday,June,25,1:00 PM,Regular season,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,7285
2023,Sunday,June,25,3:00 PM,Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,6380
2023,Monday,June,26,10:00 PM,Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,8143
2023,Tuesday,June,27,7:00 PM,Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,7344
2023,Tuesday,June,27,8:00 PM,Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,7014
2023,Tuesday,June,27,10:00 PM,Regular season,Phoenix Mercury,Dallas Wings,Footprint Center,Phoenix,AZ,5652
2023,Wednesday,June,28,12:00 PM,Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,8810
2023,Wednesday,June,28,7:00 PM,Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,3624
2023,Thursday,June,29,10:00 PM,Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,9587
2023,Thursday,June,29,10:00 PM,Regular season,Phoenix Mercury,Indiana Fever,Footprint Center,Phoenix,AZ,9047
2023,Thursday,June,29,10:00 PM,Regular season,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,Seattle,WA,6894
2023,Friday,June,30,3:00 AM,Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,3209
2023,Friday,June,30,8:00 PM,Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,7272
2023,Saturday,July,1,3:00 PM,Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,8596
2023,Saturday,July,1,10:00 PM,Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,8777
2023,Sunday,July,2,3:00 PM,Regular season,Atlanta Dream,Los Angeles Sparks,Gateway Center Arena @ College Park,Atlanta,GA,3209
2023,Sunday,July,2,4:00 PM,Regular season,Indiana Fever,Chicago Sky,Gainbridge Fieldhouse,Indianapolis,IN,4004
2023,Sunday,July,2,3:00 PM,Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,4544
2023,Sunday,July,2,6:00 PM,Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,9110
2023,Wednesday,July,5,7:00 PM,Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,7151
2023,Wednesday,July,5,8:00 PM,Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,7624
2023,Wednesday,July,5,10:00 PM,Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,10177
2023,Wednesday,July,5,10:00 PM,Regular season,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,Los Angeles,CA,5912
2023,Thursday,July,6,7:00 PM,Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,5479
2023,Friday,July,7,7:00 PM,Regular season,Washington Mystics,Indiana Fever,Entertainment and Sports Arena,Washington,DC,4200
2023,Friday,July,7,8:00 PM,Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,7911
2023,Friday,July,7,8:00 PM,Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,6251
2023,Friday,July,7,8:00 PM,Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,7714
2023,Saturday,July,8,2:00 PM,Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,6789
2023,Sunday,July,9,3:00 PM,Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,6558
2023,Sunday,July,9,4:00 PM,Regular season,Indiana Fever,Dallas Wings,Gainbridge Fieldhouse,Indianapolis,IN,3612
2023,Sunday,July,9,6:00 PM,Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,9206
2023,Sunday,July,9,7:00 PM,Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,7701
2023,Sunday,July,9,8:00 PM,Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,7325
2023,Tuesday,July,11,7:00 PM,Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,3571
2023,Tuesday,July,11,10:00 PM,Regular season,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,10281
2023,Wednesday,July,12,12:00 PM,Regular season,Indiana Fever,New York Liberty,Gainbridge Fieldhouse,Indianapolis,IN,6123
2023,Wednesday,July,12,12:00 PM,Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,9025
2023,Wednesday,July,12,1:00 PM,Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,13531
2023,Wednesday,July,12,7:00 PM,Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,2546
2023,Wednesday,July,12,10:00 PM,Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,8085
2023,Tuesday,July,18,7:00 PM,Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,2394
2023,Tuesday,July,18,10:00 PM,Regular season,Phoenix Mercury,Connecticut Sun,Footprint Center,Phoenix,AZ,7788
2023,Wednesday,July,19,7:00 AM,Regular season,Washington Mystics,Indiana Fever,Capital One Arena,Washington,DC,14406
2023,Wednesday,July,19,1:00 PM,Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,9012
2023,Thursday,July,20,7:00 AM,Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,8054
2023,Thursday,July,20,8:00 PM,Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,7014
2023,Thursday,July,20,10:00 PM,Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,11292
2023,Thursday,July,20,10:00 PM,Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,7873
2023,Friday,July,21,7:00 PM,Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,4200
2023,Saturday,July,22,1:00 PM,Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,3209
2023,Saturday,July,22,9:00 PM,Regular season,Seattle Storm,Chicago Sky,Climate Pledge Arena,Seattle,WA,8655
2023,Saturday,July,22,8:00 PM,Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,5041
2023,Saturday,July,22,3:00 PM,Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,7801
2023,Sunday,July,23,3:00 PM,Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,7371
2023,Sunday,July,23,1:00 PM,Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,4200
2023,Tuesday,July,25,7:00 PM,Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,3209
2023,Tuesday,July,25,7:00 PM,Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,6118
2023,Tuesday,July,25,7:00 PM,Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,9025
2023,Tuesday,July,25,8:00 PM,Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,4222
2023,Tuesday,July,25,10:00 PM,Regular season,Los Angeles Sparks,Indiana Fever,Crypto.com Arena,Los Angeles,CA,5565
2023,Wednesday,July,26,8:00 PM,Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,7024
2023,Thursday,July,27,11:00 AM,Regular season,Los Angeles Sparks,Indiana Fever,Crypto.com Arena,Los Angeles,CA,11970
2023,Thursday,July,27,7:00 PM,Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,6206
2023,Friday,July,28,8:00 PM,Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,7213
2023,Friday,July,28,8:00 PM,Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,4048
2023,Sunday,July,30,1:00 PM,Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,8275
2023,Sunday,July,30,3:00 PM,Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,3209
2023,Sunday,July,30,4:00 PM,Regular season,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,Indianapolis,IN,5196
2023,Sunday,July,30,4:00 PM,Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,8914
2023,Sunday,July,30,6:00 PM,Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,10213
2023,Sunday,July,30,4:00 PM,Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,8139
2023,Tuesday,August,1,7:00 PM,Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,4894
2023,Tuesday,August,1,7:00 PM,Regular season,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,Indianapolis,IN,3018
2023,Tuesday,August,1,10:00 PM,Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,8366
2023,Tuesday,August,1,10:00 PM,Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,6498
2023,Wednesday,August,2,6:00 AM,Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,7421
2023,Thursday,August,3,10:00 PM,Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,7564
2023,Friday,August,4,7:00 PM,Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,3498
2023,Friday,August,4,7:00 PM,Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,3747
2023,Friday,August,4,8:00 PM,Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,3762
2023,Friday,August,4,8:00 PM,Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,7631
2023,Saturday,August,5,10:00 PM,Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,9411
2023,Sunday,August,6,3:00 PM,Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,3209
2023,Sunday,August,6,3:00 PM,Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,11418
2023,Sunday,August,6,3:00 PM,Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,4073
2023,Sunday,August,6,4:00 PM,Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,4057
2023,Tuesday,August,8,3:00 PM,Regular season,Seattle Storm,Connecticut Sun,Climate Pledge Arena,Seattle,WA,10212
2023,Tuesday,August,8,7:00 PM,Regular season,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,Indianapolis,IN,3006
2023,Tuesday,August,8,8:00 PM,Regular season,Chicago Sky,Minnesota Lynx,Wintrust Arena,Chicago,IL,5099
2023,Tuesday,August,8,8:00 PM,Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,5193
